header,price_cad,sales,seller,details,description,availability,num_reviews
Paracord Bracelet Sun | Natural Tick Repellent Bracelet | EM Ceramics Bracelet | Yellow and Black Color | Unisex Adjustable Bracelet,14.06,48.0,CreativeTwines,"['Handmade item', 'Materials: Ceramic, Nylon, Polyester', 'Style: Boho & hippie', 'Adjustable: Yes', 'Can be personalised: Yes\n\nBracelet length: 30 Centimetres; Bracelet width: 1 Centimetres\n\nMade to Order']","Our paracord bracelets with EM ceramics are a natural tick and flea repellent. They also make a beautiful accessory for you or a gift for your loved ones. Each bracelet is handwoven with quality 550 Paracord and EM ceramic pipes.Material: Paracord and EM ceramicsColour: Yellow and BlackSize (approx.): L30 cm (11.81″) / W1 cm (0.39″)Weight: 30 gClosure: Double Fisherman’s BendHOW DOES IT WORK?EM (Effective Microorganism) ceramics emit far infrared waves, the longest rays in the light spectrum. This wavelength is highly compatible with human and animal tissue. The body can absorb them easily at depths up to 7.60 cm or 3 inches, where they can do lots of good work. Far Infrared waves remove blood cell clusters which improve blood circulation. Because the infrared rays penetrate the tissue, they work deep into body tissue, not just on the surface of the skin. Far infrared waves generate a warming effect by activating cells. NASA uses Far Infrared wave technology in the spacesuits of their astronauts.This improved and balanced environment (created by EM) can help keep ticks from attaching to your skin.These bracelets also make great personal protective jewellery that is fun to wear and provides protection against electromagnetic fields that are emitted from many common electronic devices we use every day. Our bracelets are lightweight and come in a variety of colours and sizes to match any outfit.WHAT ARE EM CERAMICS?EM ceramics are made by fermenting a special clay with approximately 80 different microorganisms (EM) and then baked. The pipes are baked at 1200 C, because in the baking process the structure of the clay changes, trapping the EM within its matrix. As a result, these EM pipes exert their influence purely through their physical properties and remain effective for a long time. Our EM tick guard bracelet can be as effective as any tick repellent found on the market but without side effects. That makes it also safe for people with allergies and sensitivities. However, there is no 100% guarantee EM bracelets nor any other tick product will keep ticks off. The best prevention is to avoid known tick areas and to check yourself for ticks after every nature walk.EM ceramics are safe for children and other pets to be around. Literature available suggests that paracord EM bracelets reduce in effectiveness after 10 – 12 months. It is therefore recommended that you renew your paracord EM bracelet every year at the start of tick season.HOW TO USE AND CARE FOR YOUR PARACORD EM BRACELET?1)	You will get the best results when you wear the bracelet 24 hours. It is recommended to keep the paracord bracelet on at all times during the tick season. 2)	Every 20 days, rinse the bracelet thoroughly under warm tap water and let it dry in the sun. Do not use soap or other chemicals! It is very important to keep the pipes clean. You can also use a soft brush if you want to.3)	If you are using essential oils or a bug spray in addition to the bracelet, make sure the EM ceramic pipes stay oil/fat-free.4)	Swimming with the EM bracelet is not a problem just let it dry in the sun afterwards. It is not recommended to be used in pool water with bleach or other chemicals in it.",In stock,1
"Paracord bracelets, friendship bracelets, Minimalistic bracelet, initial bracelet, BFF, small hearts, wish bracelet, BFF bracelet, friends",6.68,6675.0,PawlowskiCreations,"['Handmade item', 'Materials: Polyester', 'Adjustable: Yes', 'Can be personalised: Yes', 'Made to Order']","pathsParacord bracelets, simple friendship bracelet! Strong and durable just as we want our friendships to be! 💪Paracord cord bracelets with adjustable sliding knots.Colors available: Single colors: beige, blue, purple, orange, black, red wine, hot pink,Mix-weave: red/black, green/brown, blue/steel, There's an option to add initials and or a ""Best friend"" heart - choose in the dropdown menu.Last photo shows how it looks in a stack with other bracelets - all available in our shop, follow the link below, if you wish to purchase a set.https://www.etsy.com/listing/626478233/men-stac-bracelets-gift-for-boyfriend?ref=shophomeactive68It will arrive to you in a nice organza bag, ready to make you or someone else happy!Check out other bracelets!http://www.etsy.com/shop/PawlowskiCreations?sectionid=11447479Thank you!Have a great day!************ Visit my new shop with original natural stone bracelets:https://www.etsy.com/shop/WiseRocks************If you add this bracelet(s) to your order and you'll help orphanage in Nepal: https://www.etsy.com/listing/723088446/fundraiser-bracelet-cord-bracelet?ref=listingsmanagertableThank you! 💕🐢",In stock,829
"6"" Unisex Bullet Paracord Bracelet - Copper Full Metal Jacket Bullet",29.21,3211.0,EverythingBullets,"['Handmade item', 'Materials: 550 black paracord, copper wire, copper bullets, NOTE For complete listing information, click ITEM DETAILS\n\nBracelet width: .25 Inches']","For this 6"" Bullet Bracelet, I wrap 550 Paracord around my designed copper wire wound core so it will hold its shape well when formed around the wrist.  I then attach a copper full metal jacket bullet to each end.  I do remove the interior of the bullet, it is the copper jacket only, to reduce the weight.Sizes available are hand measured and sized for the bracelet core only.  When the bullet ends are attached, it increases the overall length slightly.As my Bullet Bracelets are individually handcrafted, each one is unique and subtly different in design and dimension.Unisex design, a bullet bracelet can easily be worn by both men and women.Due to my unique copper core design, this bracelet is fairly rigid. Bending it into position to fit your wrist may take time and practice.How it will show on your wrist will depend on the size of your wrist and what size bracelet your purchase (refer to second and third picture).Also available in 7"" 8"" and 9"", refer to my other listings.Listing is for one 6"" bracelet, additional pictures are for display purposes only; to show close ups and worn.",Only 1 available,556
"Thin Blue Line with Handcuffs Paracord Bracelet, Police Officer Paracord Bracelet, Thin Blue Line Bracelet, Thin Blue Line, Law Enforcement",11.2,2713.0,ParacordInspirations,"['Handmade item', 'Materials: Paracord, Side Release Buckle\n\nBracelet width: .75 Inches\n\nMade to Order']","The Thin Blue Line is a symbol used by law enforcement to commemorate fallen law enforcement officers and to symbolize the relationship of law enforcement in the community as the protectors of fellow civilians from criminal elements.My bracelets are made with Type III 7 Strand 550 Paracord and 5/8 inch plastic side release contour buckles. IMPERATIVE THAT YOU FOLLOW SIZING INSTRUCTIONS***Bracelet sizing instructions - absolutely very important*** Please read before purchasingYou have to measure your wrist snug, but not tight and then add an inch to the snug fit, so the fit will be comfortable but not loose. This is the size you should purchase. Please double check your sizing before purchasing.  Paracord bracelets do not fit like normal bracelets, so if you have always had a 7 inch bracelet, do not buy a 7 inch bracelet, please measure first and then purchase. If you are between sizes, go up to the next highest size.  For example, if your snug wrist measures 7.25 inches, then you should choose a 8.5 inch bracelet. You can send me a message at purchase if you are between sizes for a better fit.These bracelets come with continuous 550 paracord - from 6 Feet to 10 Feet (depending on size ordered).Thin Blue Line with Handcuffs Paracord Bracelet, Police Officer Paracord Bracelet, Thin Blue Line Bracelet, Thin Blue Line, Law Enforcement**TURNAROUND**All my paracord items are handcrafted and made-to-order. Please visit the shipping tab on this page for our most current turnaround time.",In stock,572
Fire Dragon - Paracord bracelet with Exclusive bronze buckle,159.99,1236.0,ALEXPEDITION,"['Handmade item', 'Materials: Bronze', 'Adjustable: No', 'Style: Celtic', 'Can be personalised: Yes', 'Made to Order']","Fire Dragon - Paracord bracelet with Exclusive bronze buckle🆕 📽 VIDEO Preview: https://youtu.be/VucjVuvlTkE 🎞️Terms of ordering 20-30 daysAttention! When choosing a size, keep in mind that it is not the length of the bracelet. It is wrist size in circumference.You may also be interested in my products:▻ https://www.etsy.com/listing/702396978/great-dragon-two-color-paracord-bracelet▻ https://www.etsy.com/listing/695348600/wolf-two-color-paracord-bracelet-with▻ https://www.etsy.com/listing/555944578/gray-wolf-paracord-bracelet-with▻ https://www.etsy.com/listing/664662852/paracord-bracelet-totem-with-exclusive▻ https://www.etsy.com/listing/512981410/brown-bear-paracord-bracelet-with",In stock,231
Cobra Paracord Bracelet (Kids),9.06,7.0,BethAmbersShop,"['Handmade item', 'Materials: Paracord, Plastic buckle', 'Adjustable: No', 'Can be personalised: Yes', 'Made to Order']","Get yourself a bright and cool new bracelet! There's 31 colours to choose from, so there is almost anything you want available. All bracelets are one of a kind, perfect for kids and adults wanted something bright in their lives! (Kids listing only, adults listing separate)",In stock,No review
Roman Centurion Legionnaire Paracord Bracelet | Green/BlackOrange Paracord 550 with Microcord | Dead Skull Helmet EDC Survival Spartan,97.4,213.0,Joyasturcas,"['Handmade item', 'Materials: Nylon', 'Adjustable: Yes', 'Style: Brutalist', 'Can be personalised: Yes']","Roman Centurion Legionnaire Paracord Bracelet | Green/BlackOrange Paracord 550 with Microcord | Dead Skull Helmet EDC Survival SpartanThis Roman Centurion inspired custom wristband is handcrafted using green and coyote brown paracord 550. Perfect colors for the Historical Soldiers of the Might Roman Army. It is made of Handcasted Brass material. This brutal armband includes about 3 meters of parachute cord in total. It is the ultimate paracord bracelet gift for mythological and stylish outdoor survival EDC lovers, besides the Bikers, who love Skull Jewellry and Accessories...PARACORDParacord, AKA Parachute Cord, is a highly useful material especially in survival situations in the nature. For this reason, it is highly preferred by Tactical Military Unit Staff, Airsoft Players, Survivalists and Bushcraft lovers. You may also prefer Paracord Jewelry items as stylish EDC (Everyday Carry) wristwear accessories in your daily life, putting you one step ahead in the luxury writsgame...PARACORD BRACELETSParacord Bracelets are custom made by hand, in accordance with the wristsize, color and knotting style preference of the customer. The process takes up to more than an hour, depending on the model itself. and requires closest attention to details for the best results...MEASUREMENT:Please measure around your wrist as instructed in the last photo and choose your exact wristsize, without adding any comfortspace. I will make this addition for you. I simply need to know your exact wristsize.If your size is not among the options, please let me know about it.SHIPPING:All my Paracord Bracelet and EDC Accessories designs are sent with FREE EXPRESS SHIPPING, that makes them accessible to you quite fast (4 business days for the United States).GIFT GIVING:My products are packed, wrapped and placed in firm boxes, ready for gift giving for the people you love: Best Gifts for your Father, Mother, Son, Lovers and Friends.*For the other paracord bracelets and EDC (Everyday Carry Accessories) in my shop:https://www.etsy.com/shop/Joyasturcas?sectionid=26295151",Low in stock,118
"Set of a 5+1 Free Simple Nautical Bracelet, Pulseras Hombre, Paracord Bracelets, Nautische Armband",13.49,308.0,CopacJewelry,"['Handmade item', 'Materials: paracord, rope', 'Style: Boho & hippie', 'Adjustable: Yes', 'Can be personalised: Yes']","♥ These bracelets are a fabulous gift idea or are ready and perfect for you to wear them. Available in a lot of colors.You will receive +1 free bracelet.♥ MATERIALS usedParacord bracelet of 4 mm is rot proof and waterproof, hard wearing material.Measure exactly your wrist circumference, I will add room for your comfort.The pictures are for presentation, slightly variation could appear.♥ SIZEAll sizes available♥ Click here to see all Bracelets paracordhttps://www.etsy.com/shop/Copacjewelry/items?sectionid=25128290♥ Click here to see all the our itemshttps://www.etsy.com/shop/Copacjewelry♥ PROCESING TIME READY TO SHIP♥ SHIPPING TIME ♥ ♥ Free shipping standard is untracked.♥ ♥ Update shipping, tracked shipping is available at checkout.♥ Thank you and God bless you!",In stock,32
Ace Pride Paracord Bracelet,18.43,513.0,Prideropes,"['Handmade item', 'Closure: Buckle', 'Made to Order']","Ace Pride Paracord Bracelets! Show your pride with these handmade paracord bracelets in the colors of the asexual flag. 3 styles available!These pride bracelets are perfect as a gift or for yourself. Wearing one of these quality, hand made paracord bracelets is a great way to show your pride or to support a loved one!Round up when choosing your bracelet length because paracord bracelets are tighter than most and are not adjustable. I strongly encourage you to measure your wrist size. Returns and refunds are not available if you choose the wrong size. Feel free to contact me if you would like advice on choosing a size!One method for measuring your wrist size is:1. Wrap a strand of yarn or string around your wrist loosely (DO NOT WRAP IT TIGHT to the wrist leave a gap of at least one inch)2. Pinch where the string meets to hold your place or draw a line with marker3. Lay the string along a tape measure or ruler and measure from the start of the string to your mark4. This is your wrist sizeTo clean your bracelets:These bracelets can be cleaned with any dish soap or stain remover (NO BLEACH) in the sink. Scrub gently with a toothbrush if needed. You could also clip your bracelet around a belt loop on a pair of pants and put into the washing machine. DO NOT DRY IN THE DRYER, AIR DRY ONLY!!!",In stock,75
Paracord Bracelet Dragon Game Of Thrones - Bracelet Daenerys Targaryen - Khaleesi Bracelet - Dragon Smaug - Draco Bracelet - Monster,55.5,28.0,NorseNorth,"['Handmade item', 'Materials: Bronze']",100% Handmade.Paracord and Jewelry bronze.New collection.,In stock,7
"Paracord Bracelet Homme, Men Climbing Rope Woven Cord Man Armband Jewelry. 4 mm",19.46,2903.0,ChalkBagsNadamlada,"['Handmade item', 'Materials: Nylon, Polyester', 'Style: Minimalist', 'Closure: Tie', 'Can be personalised: Yes', 'Adjustable: Yes\n\nBracelet width: 4 Inches']","* Paracord Bracelet HommeWelcome to Nadamlada!https://www.etsy.com/shop/ChalkBagsNadamlada/This Paracord Bracelet Homme will make happy everyone, that loves mens rope armbands. The most famous in our man jewelry collection this paracord climbing rope bracelet is useful, comfortable to be worn, trendy and fashionable. We knotted the bracelet of 550 woven cord rope 4 colors. And most important: one size fits all. It is unisex, because you can adjust its diameter when you slide the knots.You can choose among all the cord colors from the second picture.Measurements:* One size fits all;* The diameter of paracord rope is 4 mm (3/16"").* The paracord survival bracelet can be adjusted from 13 cm (5 1/8""), to 25 cm (9 13/16"").Who can use it:* Man;* Woman.In the following section of Nadamlada's boutique you can find more women / men jewelry and unisex and mens rope bracelets:To Nadamlada Store with more Paracord Bracelets for hommes and ladies:https://www.etsy.com/shop/ChalkBagsNadamlada/",In stock,149
"pink bracelet, light pink bracelet, paracord bracelet, bracelet, friendship bracelet, unisex bracelet, pink paracord bracelet",6.96,2137.0,SimpleParadise,"['Handmade item', 'Materials: parachute cord', 'Style: Minimalist', 'Adjustable: Yes', 'Made to Order']","Made out of 100% authentic parachute cord, this bracelet is suitable for almost anyone due to the sliding knots making it very adjustable. Color shown is a light pink. ******************************Shipping information : All items are sent from Ontario, Canada through Canada Post in a 6X9 bubble mailer. Expected delivery once items have been marked as shipped :CANADA : 3-5 business daysUSA : 1-3 weeks. EVERYWHERE ELSE : 1-3 weeksDisclaimer : 1) NO TRACKING NUMBERS WILL BE PROVIDED (This is to ensure my customers pay the lowest possible price for shipping). Please note that some delays may happen during holiday seasons and customs. Seller is not responsible for delays.",Low in stock,241
"Paracord Survival Bracelet, Paracord Bracelet Men, Fathers Day Gift, Mens Gift, Survival Gear, Hiking Bracelet, Men Bracelet, Women Bracelet",19.99,169.0,SterlingSurvival,"['Handmade item\n\nBracelet width: 7/8 Inches\n\nMaterials: Plastic', 'Closure: Buckle', 'Adjustable: No']","**COVID-19 ANNOUNCEMENT: The current global pandemic may cause shipping delays beyond our normal and expected timelines. We suggest that you order your item(s) 4+ weeks ahead of the date you need them for. Thank you for your support!*Our Survival Bracelets are made with Fish N Fire Paracord that includes fire starting tinder and fishing line within the core. On the buckle, you'll find an emergency whistle, compass, and fire rod and striker. Useful for hunting, fishing, camping, hiking, outdoors, or just for style.Available in S, M, L and XL in 6 camo-themed colours: black, red, blue, pink, green, and tan. All of our products include a feature and instruction card! perfect for gifts!",In stock,20
Custom paracord bracelet,8.14,53.0,VoyagingViolet,"['Handmade item', 'Materials: Paracord, Plastic buckle', 'Adjustable: No', 'Made to Order']","This is a custom paracord bracelet with many design to choose from.    The crooked river is made with dragonfly and yellow.: the mystery weave/braid option will be make with a weave I dont yet have on the shop.  You can pick the colors or you can leave that to me. : knot and loop:  I find is lot easier to put on one handed then a buckle.: buckle: a strong buckle that will not break away easily.How to measure for me,  my wrist is 6.5"" and a 8"" fit perfectly not tight not loose perfect.  So I recommend order 1.5"" more then your wrist.If you need some changes or just have questions I will answer as fast as I can.  And if you don't see any colors or weaves you like just let me know I can always find more to choose from.check out my instagramhttps://www.instagram.com/voyaging.violet/You will be getting a brand new bracelet handmade just for you.",In stock,24
Snake Knot Paracord Bracelet,19.47,3.0,Paracordude,"['Handmade item', 'Materials: Nylon', 'Adjustable: Yes', 'Can be personalised: Yes\n\nBracelet width: 5/8 Inches']","Bracelet made from 550 paracord. End of cord is finished with a snake knot. This is handmade by my son, a 13 year-old boy scout in New York City who is learning how to make quality craft products and run a small business. He keeps all proceeds, and he can customize the weave, colors and size based on your needs. Thank you for your business!",Low in stock,No review
"Micro Paracord Bracelet; Navy Blue Survival Bracelet with Wood Toggle Closure, Made to Order",14.75,13.0,CordilleraCA,"['Handmade item', 'Materials: Wood', 'Closure: Toggle', 'Adjustable: No', 'Can be personalised: No', 'Made to Order']","This hand woven bracelet is made with micro paracord, a small nylon/polyester cord which is extremely strong while being less bulky then traditional paracord bracelets. - Tensile stength of 46kg (100lbs)- UV, rot, and mildew resistant- Color does not run or bleed- Stylish and secure wood toggle closureCordage is a versatile and essential survival tool. This bracelet is made of a single piece of cord at least 2 meters long that can be unwoven in a survival situation to use for securing a tarp or other shelter, first aid, lashing, snares, shoe laces, net making, as a safety line, or whatever else you can think of.Made to order in your desired length! Bracelet lengths are listed in centimeters. There are four color options for the wood toggle closure:- White (as shown in the primary photo)- Brown- Black- GoldWant a different color of cord? Check out our other listings  or request a custom order.  Over 40 colors available for custom orders.",In stock,6
Cobra Paracord Bracelet,22.0,1.0,ODINSRAVENPARACORD,"['Handmade item\n\nBracelet width: 3/4 Inches\n\nMaterials: Nylon', 'Closure: Buckle', 'Adjustable: Yes', 'Can be personalised: Yes', 'Made to Order']","Custom made Paracord bracelets! Many colours to choose from! I can mix and match.Measure your wrist using a soft measuring tape and enter the measurement in inches. Do not wrap too tightly or too loosely. I will add length for comfort!Please state the colour of rope you would like and the size and colour buckle you would like. Then choose the type of weave you would like! See below for options. Small buckles come in: Bronze, Silver, Black and Rose GoldLarge buckles come in:Black, Silver, Rose Gold, Silver and Black Plastic Whistle BuckleWeaves come in:Cobra, King Cobra, Shark Jaw Bone and Trilobite",In stock,No review
"Personalized Paracord Survival Bracelet - Bracelet for Men Survival Bracelet for Men, Fathers Day Gift, Engraved Paracord Bracelet",72.46,1390.0,EVYDesigns,"['Handmade item', 'Materials: Stainless Steel, Paracord', 'Adjustable: Yes', 'Can be personalised: Yes', 'Made to Order']","Men’s personalised engraved paracord bracelet is perfect for the man who loves the feel of the outdoors.Hand-woven using original paracord (parachute cord), although sturdy and robust it is lightweight and stylish to wear.With an extendable shackle clasp which can be engraved with your personalisation of choice, a name, date or short message!Personalise your bracelet with 2 lines of up to 20 characters (spaces and punctuation marks count as characters).This versatile and durable cord has been used for decades in the suspension lines of parachutes, and is still used in current times for its versatility and weather resistant properties.Finished with a robust stainless steel shackle screw clasp with adjustment setting, the bracelet measures 21-23m (made possible with the adjustable clasp).This personalised bracelet is certain to make an ideal gift for your husband, brother, friend or boyfriend!  After all with the addition of the engraving what’s not to love about it?Our timeless and elegant products accentuate your outfit and enhance your look.EVY Designs Ltd pieces make fabulous gifts for loved ones or a delightful treat for you!Presented in EVY Designs signature gift packaging perfect for gifts!We are happy to send your order directly to your recipient and include a complimentary gift note for that special touch.PERSONALISATION - Personalise your bracelet with 2 lines of up to 20 characters (spaces and punctuation marks count as characters).made from:Parachute Cord.Stainless Steel.dimensions:Length: 21cm - 23cmWidth: 2.5cm",In stock,204
Paracord bracelet for men / Men's bracelet / Original gift men / Survival paracord,32.71,4.0,BRANECK,"['Handmade item', 'Materials: Cotton, Leather, Stainless steel', 'Adjustable: No']","This is a leather bracelet woven with cotton thread. A strong and current bracelet for men.Choose your length according to your wrist as the picture shows. If you have any questions contact me.Collection of unique handmade jewelery Unique handmade jewelery.Click on the heart if you want to buy later or like this item ""Add item to favorites""Leather bracelet for men / Original gift for men / Jewelry leather men / Gift menMen's bracelet, Men's leather bracelet, Original gift, Father's day giftOriginal gift	Father's day gift	Men's bracelet	Jewelry men	Gift for men	Modern bracelet	Leather bracelet	cuff bracelet	Casual bracelet	Menswear	accessories for men	Paracord bracelet	Survival paracord",In stock,2
Personalised paracord bracelet,45.3,231.0,HangingbyaFred,No info,"This adjustable woven paracord bracelet makes a great gift when personalised with a name/date/few words. The strap can be made with two complimentary colours of paracord. Please state colours, size (S,M,L) and the desired inscription at time of ordering.",Low in stock,21
Custom Mad Max: Fury Road Paracord Bracelet,11.2,2283.0,NinjaCord,No info,"Mad Max: Fury Road (2015) Paracord Bracelet made from 550 Paracord, in the same style as seen worn by Tom Hardy (Max Rockatansky) in the recent movie. The bracelet itself is simply a Cobra Weave (aka Solomon's Weave), but features a unique closure style which allows the bracelet to be pulled closed through two loops which are tight enough to hold the bracelet without a buckle.The color pictured is OD Green.A number of colors are available and listed here. PLEASE NOTE: There is no dropdown menu for you to select colors because you may select two colors for this bracelet, but Etsy will not let me give you that many options. For a list of available colors, please see the last image above and please let me know in a message during checkout which colors you would like. I apologize for the inconvenience and if Etsy ever let's me add more than two options, I will switch to a more convenient system.***IMPORTANT, PLEASE READ REGARDING SIZING***Products are made to order. You must specify your wrist size in the notes field when ordering. Measure the wrist you will be wearing the bracelet on using a fabric measuring tape. Pull tight as you are measuring the actual wrist. Select the appropriate measurement in the drop down menu. If you don't have a fabric measure, use a piece of thread and mark wrist size. Lay flat next to a ruler to determine proper size.I am not responsible for improper sizing if you do not provide me with accurate measurement. However, if possible, I will try to work with you to get you a product you are happy with.Item will be made to order and shipped out within a day or two.",In stock,438
"Cherry Blossom - ""Sakura"" Japanese Kanji Paracord Bracelet",30.53,175.0,GoKanji,No info,"Cherry Blossom – Sakura in Japanese: the Cherry Blossom in Japanese culture represents both beauty and fragility of life.The Cherry Blossom is symbolic of renewal and the fleeting nature of life as the blooms, although very beautiful, only last for a short time.Custom Kanji Bracelets– we love to make Custom Kanji Bracelets. If you have a Kanji symbol, a word, phrase or tattoo the you want made into a Kanji bracelet, we would be pleased to make it for you – contact us  and tell us what you want!About Kanji BraceletsHand painted Kanji – white on black. Pendant size:  45 mm (approx. 1.75 inches long) and 15 mm (1/2 inch) wide. Tight and uniform paracord weave with an adjustable stainless steel shackle clasp. Satisfaction guaranteed or money refunded.",In stock,35
"Sets of 5 Paracord Bracelet, Cobra Weave Knot, Paracord Survival Bracelet, Unisex Bracelet",7.99,5151.0,BeadUpStudio,No info,"Sets of 5 Paracord Bracelet, Cobra Weave Knot, Paracord Survival Bracelet, Unisex BraceletOne Set : 5 BraceletsMaterial: ParacordSize: 7.5 - 8.5 inchesAny Questions, Please feel free to ask.",Only 1 available,710
"Personalised Bracelet For Men, Rugged Paracord Bracelet, Thinking of You, Jewellery For Him, Bracelet, Mens Bracelet UK, Charly Bee Designs",34.42,1762.0,CharlyBeeDesigns,"['Handmade item', 'Materials: Nylon', 'Adjustable: Yes\n\nBracelet width: 16 Millimetres\n\nMade to Order']","- CORKSCREW PARACORD BRACELET WITH A TIBETAN SILVER INITIAL FOR MEN - A perfect gift for the man in your life, my two-tone corkscrew bracelets are easy to wear, and the perfect thoughtful present for any occasion, for someone who likes to be individual in their style. Made from extremely durable 550 paracord, this bracelet is very robust. Each piece is individually crafted with care in my design studio in the West Midlands, England, to bring you excellent quality. -YOU WILL RECEIVE- - A unique, made to order cork-screw paracord bracelet made from 550 paracord- A Tibetan silver initial woven into the design for that personal touch.- Cellophane packaging and tissue wrapped presentation, ready for gift giving!- SIZE -- Men's standard - 21-23cm- This style is adjustable by about 2cm. If you need a different size to standard, please pop me a note in the personalisation box.- Width: 16mm- IMPORTANT SHIPPING INFO - PLEASE READ BEFORE ORDERING -Your item will be handmade to order, with lots of love and care and takes 1-3 working days before being dispatched.Your order is being shipped from the UK so please allow plenty of time for it to arrive. I can’t guarantee you will receive your order by a particular date (except for UK special delivery). No refund will be issued for orders delayed in transit.- PLEASE EXPECT FURTHER DELAYS IN THE POSTAL SERVICE DUE TO THE CURRENT COVID-19 SITUATION - IN THE UK: orders are sent first class and are estimated to arrive 1-2 working days after dispatch time (special delivery upgrade is available).EVERYWHERE ELSE - delivery times vary for different countries but the shipping to the US takes around 2-4 weeks. Please note that delivery can take up to 6 weeks to some destinations at busier times such as Christmas. Standard international orders are shipped untracked by Royal Mail Airmail. If you require ‘international Tracked and signed’, which will give you a tracking number, this will cost extra and is available at checkout, I highly recommend this option.Royal Mail will only class parcels as lost after 25 business days from the original delivery date (or after 15 working days for UK parcels). It is only after this period has passed that I can offer replacements or refunds of undelivered orders.- COLOUR OPTIONS -- There are 19 carefully picked paracord hues to choose from in the drop down menu!- If you would like a tone or shade different to the options available, please select 'Custom' and let me know in the 'Note to Seller' box what colour you desire, and allow an extra week on top of the processing time for me to source the cord.- A BIT ABOUT PARACORD -- Parachute cord (also paracord) is a lightweight nylon kernmantle rope originally used in the suspension lines of US parachutes during World War II.- The all-nylon braided sheath has a high number of interwoven strands for its size, giving it a smooth texture. - SHARING THE LOVE -I love nothing better then seeing your buys ON YOU :) please post to social media~ Instagram: @charlybeedesignsMore of my designs can be found here: www.charlybeedesigns.etsy.comBest wishes,Charly :)Personalised Bracelet For Men, Rugged Paracord Bracelet, Thinking of You, Jewellery For Him, Bracelet, Mens Bracelet UK, Charly Bee Designs",In stock,189
"Survival Bracelet, Paracord Bracelet, 550 Cord Bracelet, Mens Bracelet, Custom Survival, Mens Gift, Men Bracelet",19.34,1285.0,WindArtStore,"['Handmade item', 'Materials: 550 cord', 'Closure: Slide lock', 'Can be personalised: No', 'Made to Order']","Survival Bracelet, Paracord Bracelet, 550 Cord Bracelet, Mens Bracelet, Custom Survival, Mens Gift, Men BraceletThis bracelet is adjustable, which simplifies sizing.There is no buckle, just a knot. You simply pull the cord to tighten.Depending the size, this bracelet give you about 8 to 9 feet of paracord.We only use 550 military spec cord, which is very durable - will not rot or mildew.Pick your wrist sizeSMALL SIZE - 5.5 - 6.5 inchesMEDIUM SIZE - 6.5 - 7.5 inchesLARGE SIZE - 7.5 - 8.5 inchesEXTRA LARGE - 8.5 - 9.5 inches!!!REMINDER FOR ORDERS!!!We can not use PayPal at Etsy. PayPal is closed in our country. Because of that we use 256-bit ciphered and secure payment shopier. When you order, you will get an email from shopier. There will be a link at the email. Please click this link to finish your payment.Free Shipping(Standard Shipping)We use Turkish post service (https://www.ptt.gov.tr/Sayfalar/EN/Homepage.aspx). But, you will receive it from USPS in USA, Royal mail in UK, Canada post in Canada, Australia post in Australia and so on (national post office). TRACK IT IN YOUR NATIONAL POST OFFICE WEBSITE!To USA: 2-4 weeksTo Canada:. 2-4weeks (Canada post does not scan and update the registered mail status).To South America:. 4-6 weeks To Australia:. 2-4 weeks (Australia post does not scan and update the registered mail status).To UK, Europe: 1-2 weeks Express ShippingAt the extra cost, you can use the UPS and FEDEX. To USA: 3/5 daysTo Canada:. 3/5 days To South America:. 3/5 days To Australia:. 3/5 daysTo UK, Europe: 1/3 daysDelivery time is maximum 3/5 business days to all regions of the world.We are not responsible for any custom duty or import tax.",In stock,118
Handmade Paracord Bracelet.,26.17,313.0,TheParacordSociety,"['Handmade item', 'Materials: Nylon', 'Adjustable: No', 'Can be personalised: Yes', 'Made to Order']","Each Bracelet is Exceptionally Handcrafted with care in our Design Studio in AthensDetails about the Bracelet°°°°°°°°°°°°°°°°°°°°°°°°°°°°• 100% Handmade by us• Real American Made Type III 550lb Paracord• 100% Nylon Construction• Fashionable metal shackle to make putting the bracelet on Easy Measuring Your Wrist°°°°°°°°°°°°°°°°°°°°°°°To get the circumference of your wrist, just follow these simple steps:1 ► Wrap a measure tape around your wrist2 ► Make sure it is not too tight or too loose, just touching your skin 3 ► Measure the length you get ( Dont add any measurement )4 ► This is your wrist circumference!•• For Example, if your wrist measures at 18 cm, choose 18 cm in the sizes",Low in stock,78
"Helmet of Victory - Paracord bracelet ""Fenrir"" with Ægishjálmur and Exclusive ""ᛏᛋᛟ - three runic bead """,58.42,1236.0,ALEXPEDITION,"['Handmade item', 'Materials: Brass, Nylon', 'Adjustable: Yes', 'Can be personalised: No', 'Made to Order']","Helmet of Victory - Paracord bracelet ""Fenrir"" with Ægishjálmur and Exclusive ""ᛏᛋᛟ - three runic bead ""Terms of ordering 15-30 days￫ Currently, only a bead with these runes is available for order.Attention! When choosing a size, keep in mind that it is not the length of the bracelet. It is wrist size in circumference.☛ You may also be interested in my products:▻ https://www.etsy.com/listing/756041649/teiwaz-sowulo-othila-paracord-bracelet▻ https://www.etsy.com/listing/757015903/teiwaz-sowulo-othila-paracord-bracelet▻ https://www.etsy.com/listing/743145288/teiwaz-sowulo-othila-paracord-bracelet▻ https://www.etsy.com/listing/671450582/nordic-amulet-thin-paracord-bracelet▻ https://www.etsy.com/listing/671811435/futhark-simple-paracord-bracelet-with▻ https://www.etsy.com/listing/591401819/paracord-bracelet-runescript-with-three▻ https://www.etsy.com/listing/686231611/nordic-amulet-with-mjolnir-thors-hammer",Low in stock,231
